Código Máquina;Harcha App ($);Construit ($);Diferencia ($);Diferencia (%)
C-38;$205,506,000;$5,199,600;$200,306,400;3852.3%
CT-18;$0;$96,987,414;$-96,987,414;-100.0%
TC-03;$47,261,200;$12,791,400;$34,469,800;269.5%
EX-16;$26,568,000;$0;$26,568,000;100.0%
CF-04;$23,808,000;$191,505;$23,616,495;12332.1%
CF-03;$22,176,000;$0;$22,176,000;100.0%
CF-06;$20,319,400;$0;$20,319,400;100.0%
CT-38;$24,640,000;$5,205,000;$19,435,000;373.4%
CF-07;$20,665,200;$1,584,450;$19,080,750;1204.3%
CF-05;$0;$18,813,408;$-18,813,408;-100.0%
CT-37;$24,360,000;$6,580,000;$17,780,000;270.2%
CT-15;$28,280,000;$11,480,000;$16,800,000;146.3%
TC-02;$18,536,200;$3,498,200;$15,038,000;429.9%
CT-14;$26,880,000;$11,900,000;$14,980,000;125.9%
EX-03;$13,227,500;$0;$13,227,500;100.0%
TC-01;$26,398,400;$13,387,000;$13,011,400;97.2%
CM-01;$14,835,000;$3,450,000;$11,385,000;330.0%
CT-36;$13,828,000;$2,520,000;$11,308,000;448.7%
MN-02;$23,074,800;$11,771,900;$11,302,900;96.0%
CI-02;$19,720,000;$8,700,000;$11,020,000;126.7%
CT-35;$15,400,000;$4,900,000;$10,500,000;214.3%
EX-19;$17,730,000;$7,350,000;$10,380,000;141.2%
G-03;$10,368,000;$0;$10,368,000;100.0%
RXM-09;$10,365,000;$0;$10,365,000;100.0%
EX-17;$14,164,000;$4,004,000;$10,160,000;253.7%
C-54;$9,996,000;$543,200;$9,452,800;1740.2%
CT-13;$20,160,000;$10,780,000;$9,380,000;87.0%
RX-09;$0;$9,360,000;$-9,360,000;-100.0%
EX-20;$13,068,000;$4,104,000;$8,964,000;218.4%
EX-09;$21,996,000;$13,140,000;$8,856,000;67.4%
GM-02;$4,080,000;$12,600,000;$-8,520,000;-67.6%
EX-11;$18,258,000;$10,030,000;$8,228,000;82.0%
CT-16;$19,600,000;$11,760,000;$7,840,000;66.7%
EX-14;$20,382,000;$12,814,000;$7,568,000;59.1%
GM-04;$13,387,500;$6,043,500;$7,344,000;121.5%
CT-33;$18,200,000;$10,920,000;$7,280,000;66.7%
BA-01;$12,240,000;$5,140,000;$7,100,000;138.1%
CT-24;$17,920,000;$11,200,000;$6,720,000;60.0%
CP-05;$11,879,000;$5,168,100;$6,710,900;129.9%
CT-07;$12,090,000;$5,557,500;$6,532,500;117.5%
CT-23;$17,360,000;$10,920,000;$6,440,000;59.0%
CT-06;$11,159,760;$5,250,000;$5,909,760;112.6%
EX-08;$5,416,000;$300,000;$5,116,000;1705.3%
EX-07;$12,445,000;$7,400,000;$5,045,000;68.2%
RX-07;$5,005,000;$0;$5,005,000;100.0%
CT-10;$5,143,000;$327,600;$4,815,400;1469.9%
CT-26;$6,571,000;$1,890,000;$4,681,000;247.7%
MX-02;$4,393,500;$0;$4,393,500;100.0%
MN-03;$20,517,500;$16,226,000;$4,291,500;26.4%
CT-31;$5,875,000;$1,700,000;$4,175,000;245.6%
EX-18;$12,684,000;$8,652,000;$4,032,000;46.6%
RX-04;$10,012,000;$5,980,000;$4,032,000;67.4%
CA-01;$11,895,000;$7,995,000;$3,900,000;48.8%
CP-02;$6,461,000;$2,687,300;$3,773,700;140.4%
RX-02;$3,932,500;$585,000;$3,347,500;572.2%
EX-10;$12,060,000;$8,928,000;$3,132,000;35.1%
RC-02;$6,575,000;$3,480,000;$3,095,000;88.9%
EX-15;$8,120,000;$11,100,000;$-2,980,000;-26.8%
EX-12;$10,620,000;$13,572,000;$-2,952,000;-21.8%
RC-01;$3,675,000;$6,450,000;$-2,775,000;-43.0%
CP-08;$22,660,000;$20,040,000;$2,620,000;13.1%
CT-25;$3,280,000;$840,000;$2,440,000;290.5%
RX-06;$4,975,000;$2,537,500;$2,437,500;96.1%
C-47;$0;$2,400,000;$-2,400,000;-100.0%
C-53;$0;$2,400,000;$-2,400,000;-100.0%
CT-34;$1,149,360;$3,522,000;$-2,372,640;-67.4%
CP-06;$274,200;$2,606,250;$-2,332,050;-89.5%
EX-06;$2,326,500;$0;$2,326,500;100.0%
CP-07;$1,955,000;$4,227,500;$-2,272,500;-53.8%
BD-03;$13,644,000;$11,448,000;$2,196,000;19.2%
CT-30;$11,480,000;$9,380,000;$2,100,000;22.4%
C-21;$0;$1,950,000;$-1,950,000;-100.0%
GV-01;$10,220,000;$8,273,000;$1,947,000;23.5%
CT-12;$12,040,000;$10,360,000;$1,680,000;16.2%
RL-01;$4,912,500;$6,574,500;$-1,662,000;-25.3%
CT-28;$10,920,000;$9,520,000;$1,400,000;14.7%
C-39;$963,200;$2,339,400;$-1,376,200;-58.8%
C-16;$0;$1,300,000;$-1,300,000;-100.0%
C-25;$0;$1,300,000;$-1,300,000;-100.0%
CP-04;$3,341,000;$2,100,000;$1,241,000;59.1%
CT-03;$600,000;$1,787,000;$-1,187,000;-66.4%
C-12;$0;$1,126,667;$-1,126,667;-100.0%
C-22;$477,400;$1,554,333;$-1,076,933;-69.3%
C-48;$0;$1,008,405;$-1,008,405;-100.0%
CT-29;$1,547,220;$622,500;$924,720;148.5%
C-52;$0;$910,000;$-910,000;-100.0%
CF-08;$3,752,000;$2,880,000;$872,000;30.3%
C-41;$0;$800,000;$-800,000;-100.0%
