Fecha;Código Máquina;Centro Costo;Glosa;Monto
06-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;FAEL/29439949/Copec S.a;$38,569
06-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;FAEL/29439949/Copec S.a;$4,493
07-10-2025;TC-03;2020100031 TC-03 TRACTO CAMION MERCEDES RKYD79;GASOLINA MOTORIN RKYD79;$5,000
08-10-2025;C-19;3010100007 C-19 MITSUBISHI L200 RCZX21;FX 5512481 DIESEL JORGE ARIAS RCZX21;$15,189
08-10-2025;C-19;3010100007 C-19 MITSUBISHI L200 RCZX21;FX 5512481 DIESEL JORGE ARIAS RCZX21;$1,925
17-10-2025;;1010100002 TALLER;4 LTS GASOLINA TRASLADO RAMIRO;$6,000
20-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;FPE/29454571/Copec S.a;$52,849
20-10-2025;CF-06;2010300008 CF-06 CARGADOR FRONTAL JHON DEERE 624K ;20 LTS GASOLINA TRASLADO JULIO URIBE SEMANA DEL 6 AL 10;$14,930
20-10-2025;CF-06;2010300008 CF-06 CARGADOR FRONTAL JHON DEERE 624K ;20 LTS GASOLINA TRASLADO JULIO URIBE SEMANA DEL 6 AL 10;$8,133
20-10-2025;CF-07;2010300009 CF-07 CARGADOR FRONTAL HYUNDAI;20 LTS GASOLINA TRASLADO JULIO URIBE SEMANA DEL 13 AL 17;$8,312
20-10-2025;CF-07;2010300009 CF-07 CARGADOR FRONTAL HYUNDAI;20 LTS GASOLINA TRASLADO JULIO URIBE SEMANA DEL 13 AL 17;$14,914
20-10-2025;CM-01;2020100014 CM-01 CAMIÓN  INTERNATIONAL MIXER YZ686;15 LTS GASOLINA TRASLADO RENE SOLIS;$20,000
27-10-2025;C-30;2030100049 C-30 JMC VIGUS 6472 RWRH50;9 LTS DIESEL CTA RWRH50 ALBERTO OLIVARES;$10,000
30-10-2025;C-42;2030100061 C-42 RAM 1500 SXVL55;86 LTS GASOLINA CTA SXVL55;$67,127
30-10-2025;C-42;2030100061 C-42 RAM 1500 SXVL55;86 LTS GASOLINA CTA SXVL55;$35,990
30-10-2025;C-42;2030100061 C-42 RAM 1500 SXVL55;80 LTS GASOLINA CTA SXVL55;$59,026
30-10-2025;C-42;2030100061 C-42 RAM 1500 SXVL55;80 LTS GASOLINA CTA SXVL55;$35,188
30-10-2025;C-42;2030100061 C-42 RAM 1500 SXVL55;83 LTS GASOLINA CTA SXVL55;$64,508
30-10-2025;C-42;2030100061 C-42 RAM 1500 SXVL55;83 LTS GASOLINA CTA SXVL55;$34,297
30-10-2025;CF-04;2010300003 CF-04 CARGADOR FRONTAL VOLVO CF-04;20 LTS GASOLINA TRASLADO PERSONAL JULIO URIBE  SEMANA DEL 27 AL 30 OCT.;$14,492
30-10-2025;CF-04;2010300003 CF-04 CARGADOR FRONTAL VOLVO CF-04;20 LTS GASOLINA TRASLADO PERSONAL JULIO URIBE  SEMANA DEL 27 AL 30 OCT.;$8,834
30-10-2025;CF-04;2010300003 CF-04 CARGADOR FRONTAL VOLVO CF-04;20 LTS GASOLINA TRASLADO PERSONAL JULIO URIBE  SEMANA DEL 20 AL 24 OCT.;$14,639
30-10-2025;CF-04;2010300003 CF-04 CARGADOR FRONTAL VOLVO CF-04;20 LTS GASOLINA TRASLADO PERSONAL JULIO URIBE  SEMANA DEL 20 AL 24 OCT.;$8,660
30-10-2025;TC-03;2020100031 TC-03 TRACTO CAMION MERCEDES RKYD79;3 LTS GASOLINA MOTOR CAMA BAJA;$5,000
31-10-2025;;2010900001 MAQUINA BARREDORA BROCE BW260;GASOLINA 93 OCTANOS;$7,660
31-10-2025;;2070100001 PLANTA CHANCADORA POWERSCREEN;DIESEL;$255,600
31-10-2025;;1010100002 TALLER;DIESEL;$25,560
31-10-2025;;1010100002 TALLER;DIESEL;$51,360
31-10-2025;;1010100002 TALLER;DIESEL;$34,240
31-10-2025;;1010100002 TALLER;DIESEL;$23,112
31-10-2025;;1010100002 TALLER;DIESEL;$8,340
31-10-2025;;1010100002 TALLER;DIESEL;$12,510
31-10-2025;;1010100002 TALLER;DIESEL;$67,040
31-10-2025;;1010100002 TALLER;DIESEL;$22,518
31-10-2025;;1010100002 TALLER;DIESEL;$34,840
31-10-2025;;1010100002 TALLER;DIESEL;$25,020
31-10-2025;;1010100002 TALLER;DIESEL;$4,170
31-10-2025;;1010100002 TALLER;DIESEL;$33,360
31-10-2025;;1010100002 TALLER;DIESEL;$33,360
31-10-2025;;1010100002 TALLER;DIESEL;$26,130
31-10-2025;;1010100002 TALLER;DIESEL;$27,744
31-10-2025;;1010100002 TALLER;DIESEL;$34,680
31-10-2025;;1010100002 TALLER;DIESEL;$25,560
31-10-2025;;1010100002 TALLER;DIESEL;$6,816
31-10-2025;;1010100002 TALLER;DIESEL;$68,160
31-10-2025;;1010100002 TALLER;DIESEL;$8,520
31-10-2025;;1010100002 TALLER;DIESEL;$8,520
31-10-2025;;1010100002 TALLER;DIESEL;$8,380
31-10-2025;BD-02;2010700002 BD-02 BULLDOZER CATERTPILLAR D6T;DIESEL;$114,704
31-10-2025;C-04;3010100002 C-04 JAC GBPH77;DIESEL;$40,866
31-10-2025;C-04;3010100002 C-04 JAC GBPH77;DIESEL;$51,360
31-10-2025;C-04;3010100002 C-04 JAC GBPH77;DIESEL;$51,153
31-10-2025;C-04;3010100002 C-04 JAC GBPH77;DIESEL;$45,870
31-10-2025;C-06;2030100017 C-06 MAHINDRA  GZZB73;DIESEL;$37,530
31-10-2025;C-13;2030100004 C-13 MITSUBISHI  KPGT73;DIESEL;$47,685
31-10-2025;C-17;3010100005 C-17 MITSUBISHI KPGT74;DIESEL;$40,866
31-10-2025;C-17;2030100005 C-17 MITSUBISHI  KPGT74;DIESEL;$44,217
31-10-2025;C-17;2030100005 C-17 MITSUBISHI  KPGT74;DIESEL;$27,392
31-10-2025;C-17;2030100005 C-17 MITSUBISHI  KPGT74;DIESEL;$26,688
31-10-2025;C-17;2030100005 C-17 MITSUBISHI  KPGT74;DIESEL;$44,304
31-10-2025;C-17;2030100005 C-17 MITSUBISHI  KPGT74;DIESEL;$40,896
31-10-2025;C-18;2030100006 C-18 MITSUBISHI  KSRB30;DIESEL;$26,582
31-10-2025;C-19;3010100007 C-19 MITSUBISHI L200 RCZX21;DIESEL;$45,412
31-10-2025;C-19;3010100007 C-19 MITSUBISHI L200 RCZX21;DIESEL;$44,389
31-10-2025;C-19;3010100007 C-19 MITSUBISHI L200 RCZX21;DIESEL;$54,002
31-10-2025;C-19;3010100007 C-19 MITSUBISHI L200 RCZX21;DIESEL;$41,200
31-10-2025;C-19;3010100007 C-19 MITSUBISHI L200 RCZX21;DIESEL;$51,946
31-10-2025;C-19;3010100007 C-19 MITSUBISHI L200 RCZX21;DIESEL;$57,222
31-10-2025;C-19;3010100007 C-19 MITSUBISHI L200 RCZX21;DIESEL;$31,672
31-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;FPE/3788015/Empresa Nacional De Energia Enex S.a;$137,428
31-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;DIESEL;$47,685
31-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;DIESEL;$50,396
31-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;DIESEL;$33,813
31-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;DIESEL;$28,356
31-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;DIESEL;$44,202
31-10-2025;C-20;3010100008 C-20 MITSUBISHI L200 RCZX23;DIESEL;$48,990
31-10-2025;C-23;2030100036 C-23 MAXUS  RCWX81;DIESEL;$63,344
31-10-2025;C-23;2030100036 C-23 MAXUS  RCWX81;DIESEL;$52,824
31-10-2025;C-23;2030100036 C-23 MAXUS  RCWX81;DIESEL;$18,744
31-10-2025;C-30;2030100049 C-30 JMC VIGUS 6472 RWRH50;DIESEL;$28,116
31-10-2025;C-30;2030100049 C-30 JMC VIGUS 6472 RWRH50;DIESEL;$18,744
31-10-2025;C-30;2030100049 C-30 JMC VIGUS 6472 RWRH50;DIESEL;$52,020
31-10-2025;C-30;2030100049 C-30 JMC VIGUS 6472 RWRH50;DIESEL;$46,860
31-10-2025;C-30;2030100049 C-30 JMC VIGUS 6472 RWRH50;DIESEL;$27,775
31-10-2025;C-30;2030100049 C-30 JMC VIGUS 6472 RWRH50;DIESEL;$36,660
31-10-2025;C-30;2030100049 C-30 JMC VIGUS 6472 RWRH50;DIESEL;$29,581
31-10-2025;C-30;2030100049 C-30 JMC VIGUS 6472 RWRH50;DIESEL;$37,664
31-10-2025;C-36;2030100035 C-36 ZNA GBPD93;DIESEL;$34,080
31-10-2025;C-36;2030100035 C-36 ZNA GBPD93;DIESEL;$28,611
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$56,232
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$28,542
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$46,008
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$60,882
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$39,195
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$51,153
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$52,216
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$33,777
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$11,271
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$52,020
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$25,020
31-10-2025;C-37;3010100012 C-37 MAXUS 4654 SLCT28;DIESEL;$25,680
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$34,840
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$37,530
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$30,024
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$39,386
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$24,388
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$50,040
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$40,066
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$40,866
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$43,452
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$43,452
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$17,040
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$32,376
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$49,419
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$41,088
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$44,304
31-10-2025;C-38;2030100057 C-38 MAXUS T60 4x4 2.8 DXCS SRPL59;DIESEL;$39,376
31-10-2025;C-43;3010100013 C-43 MITSUBISHI L200 STWW21;DIESEL;$39,015
31-10-2025;C-43;3010100013 C-43 MITSUBISHI L200 STWW21;DIESEL;$23,112
