Código/Centro;Total Gastos;Total Ingresos;Resultado
1010100002 TALLER;$137,265,399;$161,456;$-137,103,943
2010900001 MAQUINA BARREDORA BROCE BW260;$96,768;$0;$-96,768
2030100045 CUATRIMOTO CF400 3010 THS 072-6 (ECMA);$8,000;$0;$-8,000
2030100046 CUATRIMOTO CF400 3013 THS 071-8(ECMA);$148,912;$0;$-148,912
2060100001 PLANTA HORMIGON MOVIL;$448,480;$0;$-448,480
2070100001 PLANTA CHANCADORA POWERSCREEN;$24,818,736;$0;$-24,818,736
BA-01;$6,381,333;$7,730,000;$1,348,667
BD-02;$1,975,385;$1,224,000;$-751,385
BD-03;$21,563,611;$26,676,000;$5,112,389
C-01;$90,811;$0;$-90,811
C-03;$249,779;$0;$-249,779
C-04;$1,218,383;$0;$-1,218,383
C-06;$1,494,068;$660,001;$-834,067
C-09;$231,002;$0;$-231,002
C-12;$2,946,244;$1,776,667;$-1,169,577
C-13;$866,934;$173,333;$-693,601
C-14;$1,689,967;$0;$-1,689,967
C-15;$300,817;$0;$-300,817
C-16;$1,942,219;$1,950,000;$7,781
C-17;$709,621;$0;$-709,621
C-18;$766,337;$0;$-766,337
C-19;$1,520,116;$0;$-1,520,116
C-20;$1,692,169;$0;$-1,692,169
C-21;$2,272,556;$3,900,000;$1,627,444
C-22;$2,287,875;$3,200,999;$913,124
C-23;$777,471;$350,000;$-427,471
C-24;$2,733,852;$0;$-2,733,852
C-25;$1,402,326;$1,950,000;$547,674
C-26;$1,215,262;$0;$-1,215,262
C-27;$503,550;$0;$-503,550
C-29;$1,419,072;$1,061,666;$-357,406
C-30;$1,183,309;$368,333;$-814,976
C-31;$840,807;$0;$-840,807
C-35;$1,593,010;$0;$-1,593,010
C-36;$1,046,370;$0;$-1,046,370
C-37;$3,282,831;$325,000;$-2,957,831
C-38;$10,625,208;$40,210,800;$29,585,592
C-39;$3,213,819;$12,616,800;$9,402,981
C-41;$808,447;$800,000;$-8,447
C-42;$4,546,820;$0;$-4,546,820
C-43;$3,471,547;$0;$-3,471,547
C-44;$3,448,539;$0;$-3,448,539
C-45;$1,700,987;$0;$-1,700,987
C-47;$4,151,711;$4,800,000;$648,289
C-48;$2,012,409;$2,016,810;$4,401
C-49;$327,929;$0;$-327,929
C-51;$3,662,875;$0;$-3,662,875
C-52;$1,763,801;$1,560,000;$-203,801
C-53;$3,367,567;$4,800,000;$1,432,433
C-54;$2,043,496;$1,017,800;$-1,025,696
CA-01;$8,900,787;$11,115,000;$2,214,213
CB-01;$1,774,523;$1,088,000;$-686,523
CB-02;$1,372,546;$0;$-1,372,546
CB-03;$104,936;$0;$-104,936
CB-04;$669,937;$0;$-669,937
