EMPRESA;BANCO;OP;MONTO cuota Leasing;BIEN;PPU;CODIGO INT;PROVEEDOR;cuotas;cuotas pagadas;cuotas x pagar;ESTADO LEASSING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;KOMATSU FINANCE;1755;$5.751.445;MOTONIVELADORA GD675-5 serie 56451 ;KTRL62;MN03; KOMATSU CUMMINS CHILE;25;22;3;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;KOMATSU FINANCE;1794;$6.101.016;EXCAVADORA PC300 SERIE 65226 AN~O 204;SJTT92;EX16; KOMATSU CUMMINS CHILE;38;21;17;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;KOMATSU FINANCE;2191;$4.679.376;EXCAVADORA KOMATSU PC210 SERIE 601971 AÑO 2025;VHTG61;EX18; KOMATSU CUMMINS CHILE;48;5;43;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;KOMATSU FINANCE;2192;$4.679.376;EXCAVADORA KOMATSU PC 210 SERIE 601965 AÑO 2025;SDRZ54;EX17; KOMATSU CUMMINS CHILE;48;5;43;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;KOMATSU FINANCE;2193;$4.679.376;EXCAVADORA KOMATSU PC210 SERIE 601983 AÑO 2025;VHTG55;EX19; KOMATSU CUMMINS CHILE;48;5;43;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;KOMATSU FINANCE;2231;$7.483.461;EXCAVADORA KOMATSU PC290;VPTD92;EX20;KOMATSU CUMMINS;49;3;45;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;ESTADO;1025377;$1.158.322;PROYECTO SOLAR;X;;RISSING;60;43;17;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;ITAU;3004940;$947.658;9 contenederos 20 pies;X;;MAQTAINER;50;46;4;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HMAQ;ITAU;3021521;$4.254.783;CONTENEDORES;X;;MAQTAINER;49;3;46;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;599186;$1.421.045;CAMIONETA MAXUS modelo 5004/ T60 DX 4x4, AÑO 2023 NUEVAS SIN USO;SLCT28;C37;AUTOMOTRIZ TECNOSUR LTDA;38;36;2;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;599186;$1.421.045;CAMIONETA MAXUS modelo 5004/ T60 DX 4x4, AÑO 2023 NUEVAS SIN USO;SLCT29;C45;AUTOMOTRIZ TECNOSUR LTDA;38;36;2;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;600030;$1.420.216;CAMIONETA MAXUS CABINA SIMPLE;SRPL59;C38;AUTOMOTRIZ TECNOSUR LTDA;38;36;2;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;600030;$1.420.216;CAMIONETA MAXUS CABINA SIMPLE;SRPL60;C39;AUTOMOTRIZ TECNOSUR LTDA;38;36;2;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;602114; $1.519.605 ;CAMIONETA RAM 1500 BIG HORN CREW CAB ;SXVL55;C42;;49;29;20;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;602265; $1.535.118 ;CAMIONETAS MITSUBISHI KATANA L200;STWW21;C44;DITALCAR;50;29;21;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;602265; $1.535.118 ;CAMIONETA MITSUBISHI KATANA L200;STWW39;C43;DITALCAR;50;29;21;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;606506; $4.548.212 ;PC210LC-10M0EXCAVADORA HIDRAULICA SOBRE 154.128.470 154.128.470;THYP52;EX15;KOMATSU CHILE;49;21;28;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;609166;$6.196.673;RETROEXCAVADORA JOHN DEERE 310P AÑO 2024;TRSL95;RX08;SALINAS Y FABRES;37;16;21;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;609166;$6.196.673;RETROEXCAVADORA JOHN DEERE 310P AÑO 2024;TRSL99;RX09;SALINAS Y FABRES;37;16;21;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;612471; $1.716.094 ;"SEMBRADORA MARCA BALDAN, MODELO SPDE-4000, AÑO
2025, NUEVA SIN USO.";;;COMERCIAL REMAQ SPA;37;9;28;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;613451; $940.129 ;INCORPORADOR DE RASTROJOS ;;;SOCIEDAD TOROYO;37;9;28;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;613982; $2.998.265 ;TRACTOR CASE PUMA;;;COPEVAL;38;8;30;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;615216; $1.067.327 ;PRENSA HIDRAULICA;;;SIMMA;13;6;7;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;615929; $7.803.497 ;POWER SCREEM (LEASEBAK);;;;37;4;33;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecma;Santander;616406; $778.227 ;SEMIREMOLQUE CAMA BAJA MARCA VICFER;PXKW52;;;37;0;37;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;Santander;616365; $890.980 ;CAMIONETA MAXUS CS ;VPPL47;C54;AUTOMOTRIZ TECNOSUR LTDA;37;2;35;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BCI;116620;$7.245.315;BULLDOZER JD 850J;KSRG.22-7;BD03;ARRENDADORA DE VEHICULOS S.A.;49;37;12;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BCI;116620;;EXCAVADORA JD 350;JJLH67-6;EX12;ARRENDADORA DE VEHICULOS S.A.;49;37;12;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
