;Razon social;;;;;HARCHA MAQUINARIA  SPA;;;;;;;;Fecha de emisión;;;15-01-2026;;;
;R.U.T;;;;;76.858.929-1;;;;;;;;;;;;;;
;Dirección;;;;;CALLE SERVICIO ORIENTE 700 , Comuna LOS LAGOS;;;;;;;;;;;;;;
;Giro;;;;;Venta Al Por Mayor De Maquinaria Metalúrgica, Para La Minería, Extracción De Petróleo Y Construcción;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
MOVIMIENTOS DE CONTROL POR OBRA Y CENTRO DE COSTO;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fechas: 01-10-2025 al 31-12-2025;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Obra;;;;;20109 BARREDORA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
C.Costo;;;;;2010900001 MAQUINA BARREDORA BROCE BW260;;;;;;;;;;;;;;;
Cuenta;;;;;401010101 COMBUSTIBLES;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
31;;;Octubre;;12.813;;Traspaso;;0;GASOLINA 93 OCTANOS;;;7.660;;;;;;-7.660;
;;;;;;;;;;;;;;;;;;;;
Total 401010101 COMBUSTIBLES;;;;;;;;;;;;;7.660;;;;;;-7.660;
Cuenta;;;;;401010102 REPUESTOS Y ACCESORIOS;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
31;;;Octubre;;12.815;;Traspaso;;0;ACEITE HIDRAULICO 46 TAMBOR;;;29.250;;;;;;-29.250;
31;;;Octubre;;12.815;;Traspaso;;0;LIMPIADOR DE FRENO DE 500ML;;;4.766;;;;;;-34.016;
31;;;Octubre;;12.815;;Traspaso;;0;FILTRO DONALDSON P821575;;;13.980;;;;;;-47.996;
31;;;Octubre;;12.815;;Traspaso;;0;FILTRO DONALDSON P822858;;;9.182;;;;;;-57.178;
;;;;;;;;;;;;;;;;;;;;
