;Razon social;;;;;HARCHA MAQUINARIA  SPA;;;;;;;;Fecha de emisión;;;15-01-2026;;;
;R.U.T;;;;;76.858.929-1;;;;;;;;;;;;;;
;Dirección;;;;;CALLE SERVICIO ORIENTE 700 , Comuna LOS LAGOS;;;;;;;;;;;;;;
;Giro;;;;;Venta Al Por Mayor De Maquinaria Metalúrgica, Para La Minería, Extracción De Petróleo Y Construcción;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
MOVIMIENTOS DE CONTROL POR OBRA Y CENTRO DE COSTO;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fechas: 01-10-2025 al 31-12-2025;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Obra;;;;;20701 PLANTA ARIDOS;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
C.Costo;;;;;2070100001 PLANTA CHANCADORA POWERSCREEN;;;;;;;;;;;;;;;
Cuenta;;;;;401010101 COMBUSTIBLES;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
31;;;Octubre;;12.813;;Traspaso;;0;DIESEL;;;255.600;;;;;;-255.600;
;;;;;;;;;;;;;;;;;;;;
Total 401010101 COMBUSTIBLES;;;;;;;;;;;;;255.600;;;;;;-255.600;
Cuenta;;;;;401010102 REPUESTOS Y ACCESORIOS;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
31;;;Octubre;;12.815;;Traspaso;;0;ACEITE 15W40 RIMULA R4;;;83.775;;;;;;-83.775;
31;;;Octubre;;12.815;;Traspaso;;0;FILTRO CATERPILLAR 4794131;;;74.131;;;;;;-157.906;
31;;;Octubre;;12.815;;Traspaso;;0;FILTRO CATERPILLAR 3391048;;;96.802;;;;;;-254.708;
31;;;Octubre;;12.815;;Traspaso;;0;FILTRO CATERPILLAR 3608960;;;97.554;;;;;;-352.262;
