;Razon social;;;;;HARCHA MAQUINARIA  SPA;;;;;;;;Fecha de emisión;;;15-01-2026;;;
;R.U.T;;;;;76.858.929-1;;;;;;;;;;;;;;
;Dirección;;;;;CALLE SERVICIO ORIENTE 700 , Comuna LOS LAGOS;;;;;;;;;;;;;;
;Giro;;;;;Venta Al Por Mayor De Maquinaria Metalúrgica, Para La Minería, Extracción De Petróleo Y Construcción;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
MOVIMIENTOS DE CONTROL POR OBRA Y CENTRO DE COSTO;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fechas: 01-10-2025 al 31-12-2025;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Obra;;;;;20108 TRACTORES;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
C.Costo;;;;;2010800001 TRACTOR CASE GWSV65;;;;;;;;;;;;;;;
Cuenta;;;;;401010102 REPUESTOS Y ACCESORIOS;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
30;;;Noviembre;;13.564;;Traspaso;;0;BOLSA DE PAÑOS;;;1.512;;;;;;-1.512;
30;;;Noviembre;;13.564;;Traspaso;;0;FILTRO TRANSMISION TRACTOR CASE (47715391);;;209.490;;;;;;-211.002;
30;;;Noviembre;;13.564;;Traspaso;;0;FILTRO HIDRAULICO TRACTOR CASE (48142232);;;137.815;;;;;;-348.817;
30;;;Noviembre;;13.564;;Traspaso;;0;ACEITE HY-TRAN ULTRACT HIDRAULICO;;;327.760;;;;;;-676.577;
;;;;;;;;;;;;;;;;;;;;
Total 401010102 REPUESTOS Y ACCESORIOS;;;;;;;;;;;;;676.577;;;;;;-676.577;
Cuenta;;;;;401010104 ELEMENTOS DE PROTECCION PERSONAL;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
30;;;Noviembre;;13.564;;Traspaso;;0;GUANTE MECANICO TECHNICAL;;;677;;;;;;-677;
;;;;;;;;;;;;;;;;;;;;
Total 401010104 ELEMENTOS DE PROTECCION PERSONAL;;;;;;;;;;;;;677;;;;;;-677;
;;;;;;;;;;;;;;;;;;;;
Total 2010800001 TRACTOR CASE GWSV65;;;;;;;;;;;;;677.254;;;;;;-677;
;;;;;;;;;;;;;;;;;;;;
C.Costo;;;;;2010800003 TRACTOR CASE PUMA 155;;;;;;;;;;;;;;;
Cuenta;;;;;401010119 CUOTAS LEASING;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
23;;;Octubre;;12.527;;Traspaso;aFACTURA ELECTRONICA PROVEEDORES;53.406.093;FAEL/53406093/BANCO SANTANDER;;;2.519.550;;;;;;-2.519.550;
30;;;Noviembre;;13.124;;Traspaso;aFACTURA ELECTRONICA PROVEEDORES;53.738.641;FAEL/53738641/BANCO SANTANDER;;;2.519.550;;;;;;-5.039.100;
30;;;Diciembre;;13.737;;Traspaso;aFACTURA ELECTRONICA PROVEEDORES;54.097.454;FAEL/54097454/BANCO SANTANDER;;;2.529.861;;;;;;-7.568.961;
;;;;;;;;;;;;;;;;;;;;
Total 401010119 CUOTAS LEASING;;;;;;;;;;;;;7.568.961;;;;;;-7.568.961;
;;;;;;;;;;;;;;;;;;;;
Total 2010800003 TRACTOR CASE PUMA 155;;;;;;;;;;;;;7.568.961;;;;;;-7.568.961;
;;;;;;;;;;;;;;;;;;;;
Total 20108 TRACTORES;;;;;;;;;;;;;8.246.215;;;;;;-8.246.215;
Total General;;;;;;;;;;;;;8.246.215;;;;;;-8.246.215;
