;Razon social;;;;;HARCHA MAQUINARIA  SPA;;;;;;;;Fecha de emisión;;;15-01-2026;;;
;R.U.T;;;;;76.858.929-1;;;;;;;;;;;;;;
;Dirección;;;;;CALLE SERVICIO ORIENTE 700 , Comuna LOS LAGOS;;;;;;;;;;;;;;
;Giro;;;;;Venta Al Por Mayor De Maquinaria Metalúrgica, Para La Minería, Extracción De Petróleo Y Construcción;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
MOVIMIENTOS DE CONTROL POR OBRA Y CENTRO DE COSTO;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fechas: 01-10-2025 al 31-12-2025;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Obra;;;;;20301 VEHICULOS;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
C.Costo;;;;;2030100001 C-16 MITSUBISHI  KPGT70;;;;;;;;;;;;;;;
Cuenta;;;;;301010102 INGRESOS ARRIENDO VEHICULOS MENORES;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
31;;;Octubre;;12.741;;Traspaso;FACTURA ELECTRONICA CLIENTES;2.545;FECN/2545/FAMILIA CONSTRUCTORA SPA;;;;;;650.000;;;650.000;
27;;;Noviembre;;12.989;;Traspaso;FACTURA ELECTRONICA CLIENTES;2.566;FECN/2566/FAMILIA CONSTRUCTORA SPA;;;;;;650.000;;;1.300.000;
;;;;;;;;;;;;;;;;;;;;
Total 301010102 INGRESOS ARRIENDO VEHICULOS MENORES;;;;;;;;;;;;;;;;1.300.000;;;1.300.000;
Cuenta;;;;;401010102 REPUESTOS Y ACCESORIOS;;;;;;;;;;;;;;;
Dia;;;Mes;;Comp.;;Tipo;Tipo documento;Docto.;Glosa;;;Perdida;;;Ganancia;;;Saldo;
30;;;Noviembre;;13.564;;Traspaso;;0;NEUMATICO 245/75 R16 MIXTO;;;364.440;;;;;;-364.440;
;;;;;;;;;;;;;;;;;;;;
